"langcode","languageEnglish","languageLabel"
"de","German","Deutsch"
"en","English*","English"
"es","Spanish","Español"
"fr","French","Français"
"it","Italian","Italiano"
"pt","Portuguese","Português"
"pl","Polish","Polski"
"uk","Ukrainian","Українська"
"--","English","---------------"
"so","Somali","Af Soomaali"
"af","Afrikaans","Afrikaans"
"az","Azerbaijani","Azərbaycan dili"
"id","Indonesian","Bahasa Indonesia"
"ms-MY","Malaysian Malay","Bahasa Malaysia"
"ms","Malay","Bahasa Melayu"
"jv","Javanese","Basa Jawa"
"su","Sundanese","Basa Sunda"
"bs","Bosnian","Bosanski jezik"
"ca","Catalan","Català"
"cs","Czech","Čeština"
"ny","Chichewa","Chichewa"
"cy","Welsh","Cymraeg"
"da","Danish","Dansk"
"de","German","Deutsch"
"et","Estonian","Eesti keel"
"en","English","English"
"en-GB","English (UK)","English (UK)"
"en-US","English (US)","English (US)"
"es","Spanish","Español"
"eo","Esperanto","Esperanto"
"eu","Basque","Euskara"
"fr","French","Français"
"ga","Irish","Gaeilge"
"gl","Galician","Galego"
"hr","Croatian","Hrvatski jezik"
"xh","Xhosa","isiXhosa"
"zu","Zulu","isiZulu"
"is","Icelandic","Íslenska"
"it","Italian","Italiano"
"sw","Swahili","Kiswahili"
"ht","Haitian Creole","Kreyòl Ayisyen"
"ku","Kurdish","Kurdî"
"la","Latin","Latīna"
"lv","Latvian","Latviešu valoda"
"lb","Luxembourgish","Lëtzebuergesch"
"lt","Lithuanian","Lietuvių kalba"
"hu","Hungarian","Magyar"
"mg","Malagasy","Malagasy"
"mt","Maltese","Malti"
"mi","Maori","Māori"
"nl","Dutch","Nederlands"
"no","Norwegian","Norsk"
"uz","Uzbek","O'zbek tili"
"pl","Polish","Polski"
"pt","Portuguese","Português"
"ro","Romanian","Română"
"st","Sesotho","Sesotho"
"sq","Albanian","Shqip"
"sk","Slovak","Slovenčina"
"sl","Slovenian","Slovenščina"
"fi","Finnish","Suomi"
"sv","Swedish","Svenska"
"tl","Tagalog","Tagalog"
"tt","Tatar","Tatarça"
"tr","Turkish","Türkçe"
"vi","Vietnamese","Việt ngữ"
"yo","Yoruba","Yorùbá"
"el","Greek","Ελληνικά"
"be","Belarusian","Беларуская мова"
"bg","Bulgarian","Български език"
"ky","Kyrgyz","Кыр"
"kk","Kazakh","Қазақ тілі"
"mk","Macedonian","Македонски јазик"
"mn","Mongolian","Монгол хэл"
"ru","Russian","Русский"
"sr","Serbian","Српски језик"
"tg","Tajik","Тоҷикӣ"
"uk","Ukrainian","Українська"
"ka","Georgian","ქართული"
"hy","Armenian","Հայերեն"
"yi","Yiddish","ייִדיש"
"he","Hebrew","עברית"
"ug","Uyghur","ئۇيغۇرچە"
"ur","Urdu","اردو"
"ar","Arabic","العربية"
"ps","Pashto","پښتو"
"fa","Persian","فارسی"
"ne","Nepali","नेपाली"
"mr","Marathi","मराठी"
"hi","Hindi","हिन्दी"
"bn","Bengali","বাংলা"
"pa","Punjabi","ਪੰਜਾਬੀ"
"gu","Gujarati","ગુજરાતી"
"or","Oriya","ଓଡ଼ିଆ"
"ta","Tamil","தமிழ்"
"te","Telugu","తెలుగు"
"kn","Kannada","ಕನ್ನಡ"
"ml","Malayalam","മലയാളം"
"si","Sinhala","සිංහල"
"th","Thai","ไทย"
"lo","Lao","ພາສາລາວ"
"my","Burmese","ဗမာစာ"
"km","Khmer","ភាសាខ្មែរ"
"ko","Korean","한국어"
"zh","Chinese","中文"
"zh-TW","Traditional Chinese","繁體中文"
"ja","Japanese","日本語"
